,model,obs,score
0,Unweighted Cox PH,750.0,0.6471102631369743
1,"Cox PH, Barlow weights",750.0,0.6472692582876223
2,"Cox PH, Prentice weights",750.0,0.6474282534382702
3,"Cox PH, Self-Prentice weights",750.0,0.647587248588918
4,"Cox PH Ridge, Barlow weights",750.0,0.6474282534382702
5,"Cox PH Lasso, Barlow weights",750.0,0.6472692582876223
6,"Cox PH Elastic Net, Barlow weights",750.0,0.6472692582876223
7,"Survival Tree, unweighted",750.0,0.8351220287781222
8,"Survival Tree, random oversampler",750.0,0.8080928531679784
9,"Survival Tree, SMOTENC",750.0,0.7721202003338898
10,"Random Survival Forest, unweighted",750.0,0.8262977979171635
11,"Random Survival Forest, random oversampler",750.0,0.8206534700691629
12,"Random Survival Forest, SMOTENC",750.0,0.8219254312743461
13,Unweighted Cox PH,750.0,0.6593975639997083
14,"Cox PH, Barlow weights",750.0,0.6599081029830064
15,"Cox PH, Prentice weights",750.0,0.6599081029830064
16,"Cox PH, Self-Prentice weights",750.0,0.6596893005615929
17,"Cox PH Ridge, Barlow weights",750.0,0.6599081029830064
18,"Cox PH Lasso, Barlow weights",750.0,0.6599081029830064
19,"Cox PH Elastic Net, Barlow weights",750.0,0.6599081029830064
20,"Survival Tree, unweighted",750.0,0.8707242360148786
21,"Survival Tree, random oversampler",750.0,0.8614251331048064
22,"Survival Tree, SMOTENC",750.0,0.8538764495660419
23,"Random Survival Forest, unweighted",750.0,0.8986944788855663
24,"Random Survival Forest, random oversampler",750.0,0.8956677120560134
25,"Random Survival Forest, SMOTENC",750.0,0.9062796294945664
26,Unweighted Cox PH,750.0,0.7495855120520342
27,"Cox PH, Barlow weights",750.0,0.7497768141818646
28,"Cox PH, Prentice weights",750.0,0.7494579772988139
29,"Cox PH, Self-Prentice weights",750.0,0.7544956000510139
30,"Cox PH Ridge, Barlow weights",750.0,0.7487565361561025
31,"Cox PH Lasso, Barlow weights",750.0,0.7497768141818646
32,"Cox PH Elastic Net, Barlow weights",750.0,0.7465246779747481
33,"Survival Tree, unweighted",750.0,0.8349700293329932
34,"Survival Tree, random oversampler",750.0,0.8511350593036603
35,"Survival Tree, SMOTENC",750.0,0.8338859839306211
36,"Random Survival Forest, unweighted",750.0,0.8706159928580538
37,"Random Survival Forest, random oversampler",750.0,0.8583088891722994
38,"Random Survival Forest, SMOTENC",750.0,0.867172554521107
39,Unweighted Cox PH,750.0,0.6486304719980436
40,"Cox PH, Barlow weights",750.0,0.6485081927121545
41,"Cox PH, Prentice weights",750.0,0.6486304719980436
42,"Cox PH, Self-Prentice weights",750.0,0.6485081927121545
43,"Cox PH Ridge, Barlow weights",750.0,0.6485081927121545
44,"Cox PH Lasso, Barlow weights",750.0,0.6485081927121545
45,"Cox PH Elastic Net, Barlow weights",750.0,0.6485081927121545
46,"Survival Tree, unweighted",750.0,0.7986977256052825
47,"Survival Tree, random oversampler",750.0,0.8000733675715334
48,"Survival Tree, SMOTENC",750.0,0.8065847395451211
49,"Random Survival Forest, unweighted",750.0,0.8543653705062363
50,"Random Survival Forest, random oversampler",750.0,0.851063829787234
51,"Random Survival Forest, SMOTENC",750.0,0.8599902176571289
52,Unweighted Cox PH,750.0,0.6683846637335009
53,"Cox PH, Barlow weights",750.0,0.6676932746700188
54,"Cox PH, Prentice weights",750.0,0.6676932746700188
55,"Cox PH, Self-Prentice weights",750.0,0.6673790069138906
56,"Cox PH Ridge, Barlow weights",750.0,0.6676932746700188
57,"Cox PH Lasso, Barlow weights",750.0,0.6676932746700188
58,"Cox PH Elastic Net, Barlow weights",750.0,0.6676932746700188
59,"Survival Tree, unweighted",750.0,0.8078881206788183
60,"Survival Tree, random oversampler",750.0,0.813073538654934
61,"Survival Tree, SMOTENC",750.0,0.8020427404148335
62,"Random Survival Forest, unweighted",750.0,0.8197360150848523
63,"Random Survival Forest, random oversampler",750.0,0.8311125078566939
64,"Random Survival Forest, SMOTENC",750.0,0.8207416719044626
65,Unweighted Cox PH,750.0,0.6292778226893021
66,"Cox PH, Barlow weights",750.0,0.6304904338453247
67,"Cox PH, Prentice weights",750.0,0.6304904338453247
68,"Cox PH, Self-Prentice weights",750.0,0.6232147669091889
69,"Cox PH Ridge, Barlow weights",750.0,0.6304904338453247
70,"Cox PH Lasso, Barlow weights",750.0,0.6304904338453247
71,"Cox PH Elastic Net, Barlow weights",750.0,0.6304904338453247
72,"Survival Tree, unweighted",750.0,0.7933171651845864
73,"Survival Tree, random oversampler",750.0,0.7503705200754514
74,"Survival Tree, SMOTENC",750.0,0.738480194017785
75,"Random Survival Forest, unweighted",750.0,0.7855025599568849
76,"Random Survival Forest, random oversampler",750.0,0.7877930476960388
77,"Random Survival Forest, SMOTENC",750.0,0.7756669361358125
78,Unweighted Cox PH,750.0,0.7525701744253206
79,"Cox PH, Barlow weights",750.0,0.7524546609680027
80,"Cox PH, Prentice weights",750.0,0.7525701744253206
81,"Cox PH, Self-Prentice weights",750.0,0.7506642023795772
82,"Cox PH Ridge, Barlow weights",750.0,0.7524546609680027
83,"Cox PH Lasso, Barlow weights",750.0,0.7524546609680027
84,"Cox PH Elastic Net, Barlow weights",750.0,0.7524546609680027
85,"Survival Tree, unweighted",750.0,0.8726752916714797
86,"Survival Tree, random oversampler",750.0,0.8563012590966848
87,"Survival Tree, SMOTENC",750.0,0.869700820145547
88,"Random Survival Forest, unweighted",750.0,0.8916483770359247
89,"Random Survival Forest, random oversampler",750.0,0.8910708097493358
90,"Random Survival Forest, SMOTENC",750.0,0.8863058796349774
91,Unweighted Cox PH,750.0,0.692616423520418
92,"Cox PH, Barlow weights",750.0,0.6922978913168121
93,"Cox PH, Prentice weights",750.0,0.6924253041982544
94,"Cox PH, Self-Prentice weights",750.0,0.6892399821621966
95,"Cox PH Ridge, Barlow weights",750.0,0.6936357265719564
96,"Cox PH Lasso, Barlow weights",750.0,0.6922978913168121
97,"Cox PH Elastic Net, Barlow weights",750.0,0.6922978913168121
98,"Survival Tree, unweighted",750.0,0.8378671083646557
99,"Survival Tree, random oversampler",750.0,0.8417532012486463
100,"Survival Tree, SMOTENC",750.0,0.8252850863222272
101,"Random Survival Forest, unweighted",750.0,0.8487609097279735
102,"Random Survival Forest, random oversampler",750.0,0.8593361788876855
103,"Random Survival Forest, SMOTENC",750.0,0.84856979040581
104,Unweighted Cox PH,750.0,0.6627480251290664
105,"Cox PH, Barlow weights",750.0,0.6610686073272377
106,"Cox PH, Prentice weights",750.0,0.6611930086458917
107,"Cox PH, Self-Prentice weights",750.0,0.6616284132611806
108,"Cox PH Ridge, Barlow weights",750.0,0.6610686073272377
109,"Cox PH Lasso, Barlow weights",750.0,0.6610686073272377
110,"Cox PH Elastic Net, Barlow weights",750.0,0.6611308079865647
111,"Survival Tree, unweighted",750.0,0.8248740436648628
112,"Survival Tree, random oversampler",750.0,0.8146731355352367
113,"Survival Tree, SMOTENC",750.0,0.8108788953162903
114,"Random Survival Forest, unweighted",750.0,0.837967282453194
115,"Random Survival Forest, random oversampler",750.0,0.8346084468495366
116,"Random Survival Forest, SMOTENC",750.0,0.8353548547614604
117,Unweighted Cox PH,750.0,0.7519072132977733
118,"Cox PH, Barlow weights",750.0,0.7550703963282268
119,"Cox PH, Prentice weights",750.0,0.7550703963282268
120,"Cox PH, Self-Prentice weights",750.0,0.7553184891149289
121,"Cox PH Ridge, Barlow weights",750.0,0.7550703963282268
122,"Cox PH Lasso, Barlow weights",750.0,0.7550703963282268
123,"Cox PH Elastic Net, Barlow weights",750.0,0.7550703963282268
124,"Survival Tree, unweighted",750.0,0.8401041989704149
125,"Survival Tree, random oversampler",750.0,0.8268312348818458
126,"Survival Tree, SMOTENC",750.0,0.8413136513055883
127,"Random Survival Forest, unweighted",750.0,0.8559821373193575
128,"Random Survival Forest, random oversampler",750.0,0.8704335421447621
129,"Random Survival Forest, SMOTENC",750.0,0.8555479749426286
130,Unweighted Cox PH,750.0,0.5197211019208422
131,"Cox PH, Barlow weights",750.0,0.5182855971016475
132,"Cox PH, Prentice weights",750.0,0.51835395447399
133,"Cox PH, Self-Prentice weights",750.0,0.5165083054207397
134,"Cox PH Ridge, Barlow weights",750.0,0.5182855971016475
135,"Cox PH Lasso, Barlow weights",750.0,0.5182855971016475
136,"Cox PH Elastic Net, Barlow weights",750.0,0.5182855971016475
137,"Survival Tree, unweighted",750.0,0.819639073074031
138,"Survival Tree, random oversampler",750.0,0.8301319297286213
139,"Survival Tree, SMOTENC",750.0,0.8288331396541117
140,"Random Survival Forest, unweighted",750.0,0.818169389568665
141,"Random Survival Forest, random oversampler",750.0,0.8426071501811471
142,"Random Survival Forest, SMOTENC",750.0,0.8377879554309933
143,Unweighted Cox PH,750.0,0.7016020935724772
144,"Cox PH, Barlow weights",750.0,0.7005808387055594
145,"Cox PH, Prentice weights",750.0,0.7005170102763771
146,"Cox PH, Self-Prentice weights",750.0,0.7026871768685773
147,"Cox PH Ridge, Barlow weights",750.0,0.7005808387055594
148,"Cox PH Lasso, Barlow weights",750.0,0.7016020935724772
149,"Cox PH Elastic Net, Barlow weights",750.0,0.7005808387055594
150,"Survival Tree, unweighted",750.0,0.8087381119550647
151,"Survival Tree, random oversampler",750.0,0.7855364779472778
152,"Survival Tree, SMOTENC",750.0,0.7768238973638859
153,"Random Survival Forest, unweighted",750.0,0.8452798876619646
154,"Random Survival Forest, random oversampler",750.0,0.8402693559711496
155,"Random Survival Forest, SMOTENC",750.0,0.83730133401417
156,Unweighted Cox PH,750.0,0.7211424285982126
157,"Cox PH, Barlow weights",750.0,0.722829823136054
158,"Cox PH, Prentice weights",750.0,0.7228923192300482
159,"Cox PH, Self-Prentice weights",750.0,0.7235172801699894
160,"Cox PH Ridge, Barlow weights",750.0,0.7225798387600775
161,"Cox PH Lasso, Barlow weights",750.0,0.722829823136054
162,"Cox PH Elastic Net, Barlow weights",750.0,0.722829823136054
163,"Survival Tree, unweighted",750.0,0.8451034310355603
164,"Survival Tree, random oversampler",750.0,0.8114492844197237
165,"Survival Tree, SMOTENC",750.0,0.8410099368789451
166,"Random Survival Forest, unweighted",750.0,0.8526967064558465
167,"Random Survival Forest, random oversampler",750.0,0.858446347103306
168,"Random Survival Forest, SMOTENC",750.0,0.8571339291294294
169,Unweighted Cox PH,750.0,0.7580418598117713
170,"Cox PH, Barlow weights",750.0,0.7572692793931732
171,"Cox PH, Prentice weights",750.0,0.7572692793931732
172,"Cox PH, Self-Prentice weights",750.0,0.7579013906447535
173,"Cox PH Ridge, Barlow weights",750.0,0.7572692793931732
174,"Cox PH Lasso, Barlow weights",750.0,0.7572692793931732
175,"Cox PH Elastic Net, Barlow weights",750.0,0.7567776373086108
176,"Survival Tree, unweighted",750.0,0.8013765978367748
177,"Survival Tree, random oversampler",750.0,0.8033782834667791
178,"Survival Tree, SMOTENC",750.0,0.7941424357353561
179,"Random Survival Forest, unweighted",750.0,0.8337547408343868
180,"Random Survival Forest, random oversampler",750.0,0.8234302570585756
181,"Random Survival Forest, SMOTENC",750.0,0.8426042983565107
182,Unweighted Cox PH,750.0,0.6652313624678663
183,"Cox PH, Barlow weights",750.0,0.663560411311054
184,"Cox PH, Prentice weights",750.0,0.6634961439588689
185,"Cox PH, Self-Prentice weights",750.0,0.6627249357326478
186,"Cox PH Ridge, Barlow weights",750.0,0.6633676092544987
187,"Cox PH Lasso, Barlow weights",750.0,0.663560411311054
188,"Cox PH Elastic Net, Barlow weights",750.0,0.663560411311054
189,"Survival Tree, unweighted",750.0,0.8372750642673522
190,"Survival Tree, random oversampler",750.0,0.8279884318766066
191,"Survival Tree, SMOTENC",750.0,0.8397172236503856
192,"Random Survival Forest, unweighted",750.0,0.8223329048843188
193,"Random Survival Forest, random oversampler",750.0,0.838560411311054
194,"Random Survival Forest, SMOTENC",750.0,0.8357647814910025
195,Unweighted Cox PH,750.0,0.7079118028534371
196,"Cox PH, Barlow weights",750.0,0.7078469520103762
197,"Cox PH, Prentice weights",750.0,0.7078469520103762
198,"Cox PH, Self-Prentice weights",750.0,0.7062905317769131
199,"Cox PH Ridge, Barlow weights",750.0,0.7078469520103762
200,"Cox PH Lasso, Barlow weights",750.0,0.7078469520103762
201,"Cox PH Elastic Net, Barlow weights",750.0,0.7078469520103762
202,"Survival Tree, unweighted",750.0,0.8601167315175098
203,"Survival Tree, random oversampler",750.0,0.8551556420233463
204,"Survival Tree, SMOTENC",750.0,0.8640077821011674
205,"Random Survival Forest, unweighted",750.0,0.8619974059662776
206,"Random Survival Forest, random oversampler",750.0,0.8650453955901427
207,"Random Survival Forest, SMOTENC",750.0,0.8675745784695201
208,Unweighted Cox PH,750.0,0.7399886126399696
209,"Cox PH, Barlow weights",750.0,0.7401151388625292
210,"Cox PH, Prentice weights",750.0,0.7401151388625292
211,"Cox PH, Self-Prentice weights",750.0,0.7400518757512494
212,"Cox PH Ridge, Barlow weights",750.0,0.7401151388625292
213,"Cox PH Lasso, Barlow weights",750.0,0.7401151388625292
214,"Cox PH Elastic Net, Barlow weights",750.0,0.7401151388625292
215,"Survival Tree, unweighted",750.0,0.8724931992155375
216,"Survival Tree, random oversampler",750.0,0.8990637059530587
217,"Survival Tree, SMOTENC",750.0,0.8698361485417853
218,"Random Survival Forest, unweighted",750.0,0.9154172202188904
219,"Random Survival Forest, random oversampler",750.0,0.9138356424368952
220,"Random Survival Forest, SMOTENC",750.0,0.9052951224141204
221,Unweighted Cox PH,750.0,0.7111688311688311
222,"Cox PH, Barlow weights",750.0,0.711038961038961
223,"Cox PH, Prentice weights",750.0,0.7111688311688311
224,"Cox PH, Self-Prentice weights",750.0,0.7124675324675325
225,"Cox PH Ridge, Barlow weights",750.0,0.711038961038961
226,"Cox PH Lasso, Barlow weights",750.0,0.711038961038961
227,"Cox PH Elastic Net, Barlow weights",750.0,0.711038961038961
228,"Survival Tree, unweighted",750.0,0.8408766233766234
229,"Survival Tree, random oversampler",750.0,0.8372077922077922
230,"Survival Tree, SMOTENC",750.0,0.8313311688311689
231,"Random Survival Forest, unweighted",750.0,0.8868831168831168
232,"Random Survival Forest, random oversampler",750.0,0.8770779220779221
233,"Random Survival Forest, SMOTENC",750.0,0.8895454545454545
234,Unweighted Cox PH,750.0,0.7600404312668464
235,"Cox PH, Barlow weights",750.0,0.7600404312668464
236,"Cox PH, Prentice weights",750.0,0.7599730458221025
237,"Cox PH, Self-Prentice weights",750.0,0.7602425876010782
238,"Cox PH Ridge, Barlow weights",750.0,0.7600404312668464
239,"Cox PH Lasso, Barlow weights",750.0,0.7600404312668464
240,"Cox PH Elastic Net, Barlow weights",750.0,0.7600404312668464
241,"Survival Tree, unweighted",750.0,0.8421495956873315
242,"Survival Tree, random oversampler",750.0,0.8409366576819407
243,"Survival Tree, SMOTENC",750.0,0.8139150943396226
244,"Random Survival Forest, unweighted",750.0,0.8425539083557951
245,"Random Survival Forest, random oversampler",750.0,0.8441037735849056
246,"Random Survival Forest, SMOTENC",750.0,0.8402291105121293
247,Unweighted Cox PH,750.0,0.5899689420471816
248,"Cox PH, Barlow weights",750.0,0.5915548800634375
249,"Cox PH, Prentice weights",750.0,0.5916870415647921
250,"Cox PH, Self-Prentice weights",750.0,0.5915548800634375
251,"Cox PH Ridge, Barlow weights",750.0,0.5915548800634375
252,"Cox PH Lasso, Barlow weights",750.0,0.5915548800634375
253,"Cox PH Elastic Net, Barlow weights",750.0,0.5915548800634375
254,"Survival Tree, unweighted",750.0,0.8392255336020618
255,"Survival Tree, random oversampler",750.0,0.835161567435406
256,"Survival Tree, SMOTENC",750.0,0.8392255336020618
257,"Random Survival Forest, unweighted",750.0,0.817088482125157
258,"Random Survival Forest, random oversampler",750.0,0.8338729927971982
259,"Random Survival Forest, SMOTENC",750.0,0.8206898830370714
260,Unweighted Cox PH,750.0,0.6378130511463844
261,"Cox PH, Barlow weights",750.0,0.6371075837742505
262,"Cox PH, Prentice weights",750.0,0.6371075837742505
263,"Cox PH, Self-Prentice weights",750.0,0.6370370370370371
264,"Cox PH Ridge, Barlow weights",750.0,0.6371075837742505
265,"Cox PH Lasso, Barlow weights",750.0,0.6371075837742505
266,"Cox PH Elastic Net, Barlow weights",750.0,0.6371075837742505
267,"Survival Tree, unweighted",750.0,0.8329100529100529
268,"Survival Tree, random oversampler",750.0,0.8396825396825397
269,"Survival Tree, SMOTENC",750.0,0.7995061728395062
270,"Random Survival Forest, unweighted",750.0,0.8525573192239859
271,"Random Survival Forest, random oversampler",750.0,0.854673721340388
272,"Random Survival Forest, SMOTENC",750.0,0.8520634920634921
273,Unweighted Cox PH,750.0,0.7318017552916882
274,"Cox PH, Barlow weights",750.0,0.7299303045947341
275,"Cox PH, Prentice weights",750.0,0.7299948373773877
276,"Cox PH, Self-Prentice weights",750.0,0.7334150748580279
277,"Cox PH Ridge, Barlow weights",750.0,0.7285751161590088
278,"Cox PH Lasso, Barlow weights",750.0,0.7299303045947341
279,"Cox PH Elastic Net, Barlow weights",750.0,0.7299303045947341
280,"Survival Tree, unweighted",750.0,0.8820340733092411
281,"Survival Tree, random oversampler",750.0,0.854639907072793
282,"Survival Tree, SMOTENC",750.0,0.881421011874032
283,"Random Survival Forest, unweighted",750.0,0.8964248838409912
284,"Random Survival Forest, random oversampler",750.0,0.9034589571502324
285,"Random Survival Forest, SMOTENC",750.0,0.890358802271554
286,Unweighted Cox PH,750.0,0.7257478503088288
287,"Cox PH, Barlow weights",750.0,0.7249606394574301
288,"Cox PH, Prentice weights",750.0,0.7256872956279521
289,"Cox PH, Self-Prentice weights",750.0,0.7255056315853216
290,"Cox PH Ridge, Barlow weights",750.0,0.7262322877558435
291,"Cox PH Lasso, Barlow weights",750.0,0.7249606394574301
292,"Cox PH Elastic Net, Barlow weights",750.0,0.7249606394574301
293,"Survival Tree, unweighted",750.0,0.8687174518590287
294,"Survival Tree, random oversampler",750.0,0.8411953494005087
295,"Survival Tree, SMOTENC",750.0,0.8831900205885915
296,"Random Survival Forest, unweighted",750.0,0.8818578176093012
297,"Random Survival Forest, random oversampler",750.0,0.8748334746275888
298,"Random Survival Forest, SMOTENC",750.0,0.8826450284607
299,Unweighted Cox PH,750.0,0.7117053867755936
300,"Cox PH, Barlow weights",750.0,0.7124074546847077
301,"Cox PH, Prentice weights",750.0,0.7124074546847077
302,"Cox PH, Self-Prentice weights",750.0,0.6213300995659944
303,"Cox PH Ridge, Barlow weights",750.0,0.7124074546847077
304,"Cox PH Lasso, Barlow weights",750.0,0.7124074546847077
305,"Cox PH Elastic Net, Barlow weights",750.0,0.7124074546847077
306,"Survival Tree, unweighted",750.0,0.8368330354863416
307,"Survival Tree, random oversampler",750.0,0.8269721725810569
308,"Survival Tree, SMOTENC",750.0,0.8358437579780444
309,"Random Survival Forest, unweighted",750.0,0.8415241256063314
310,"Random Survival Forest, random oversampler",750.0,0.8503957110033189
311,"Random Survival Forest, SMOTENC",750.0,0.8354608118458003
312,Unweighted Cox PH,750.0,0.6525076765609007
313,"Cox PH, Barlow weights",750.0,0.6568577277379734
314,"Cox PH, Prentice weights",750.0,0.6569216990788127
315,"Cox PH, Self-Prentice weights",750.0,0.650460593654043
316,"Cox PH Ridge, Barlow weights",750.0,0.6568577277379734
317,"Cox PH Lasso, Barlow weights",750.0,0.6568577277379734
318,"Cox PH Elastic Net, Barlow weights",750.0,0.6568577277379734
319,"Survival Tree, unweighted",750.0,0.8338344421699079
320,"Survival Tree, random oversampler",750.0,0.8316594165813715
321,"Survival Tree, SMOTENC",750.0,0.8343462128966224
322,"Random Survival Forest, unweighted",750.0,0.8355296827021494
323,"Random Survival Forest, random oversampler",750.0,0.8446775844421699
324,"Random Survival Forest, SMOTENC",750.0,0.8422466734902764
325,Unweighted Cox PH,750.0,0.7438563327032136
326,"Cox PH, Barlow weights",750.0,0.743289224952741
327,"Cox PH, Prentice weights",750.0,0.7431632010081916
328,"Cox PH, Self-Prentice weights",750.0,0.7434152488972905
329,"Cox PH Ridge, Barlow weights",750.0,0.7430371770636421
330,"Cox PH Lasso, Barlow weights",750.0,0.743289224952741
331,"Cox PH Elastic Net, Barlow weights",750.0,0.743289224952741
332,"Survival Tree, unweighted",750.0,0.8327662255828607
333,"Survival Tree, random oversampler",750.0,0.8124133585381222
334,"Survival Tree, SMOTENC",750.0,0.8357592942659106
335,"Random Survival Forest, unweighted",750.0,0.8241965973534972
336,"Random Survival Forest, random oversampler",750.0,0.8336798991808444
337,"Random Survival Forest, SMOTENC",750.0,0.8297416509136736
338,Unweighted Cox PH,750.0,0.7202574672741737
339,"Cox PH, Barlow weights",750.0,0.7217762349027266
340,"Cox PH, Prentice weights",750.0,0.7214146235625949
341,"Cox PH, Self-Prentice weights",750.0,0.720763723150358
342,"Cox PH Ridge, Barlow weights",750.0,0.7217762349027266
343,"Cox PH Lasso, Barlow weights",750.0,0.7217762349027266
344,"Cox PH Elastic Net, Barlow weights",750.0,0.7217762349027266
345,"Survival Tree, unweighted",750.0,0.8481232371447168
346,"Survival Tree, random oversampler",750.0,0.8142040934403703
347,"Survival Tree, SMOTENC",750.0,0.8191220076661604
348,"Random Survival Forest, unweighted",750.0,0.8417588775584003
349,"Random Survival Forest, random oversampler",750.0,0.843277645186953
350,"Random Survival Forest, SMOTENC",750.0,0.8440731901352426
351,Unweighted Cox PH,750.0,0.704374248274989
352,"Cox PH, Barlow weights",750.0,0.704374248274989
353,"Cox PH, Prentice weights",750.0,0.704374248274989
354,"Cox PH, Self-Prentice weights",750.0,0.7072228904222321
355,"Cox PH Ridge, Barlow weights",750.0,0.7042476419573337
356,"Cox PH Lasso, Barlow weights",750.0,0.704374248274989
357,"Cox PH Elastic Net, Barlow weights",750.0,0.704374248274989
358,"Survival Tree, unweighted",750.0,0.8426599987339368
359,"Survival Tree, random oversampler",750.0,0.8214217889472685
360,"Survival Tree, SMOTENC",750.0,0.8485788440843198
361,"Random Survival Forest, unweighted",750.0,0.8718111033740583
362,"Random Survival Forest, random oversampler",750.0,0.8643413306323986
363,"Random Survival Forest, SMOTENC",750.0,0.8523770336139773
364,Unweighted Cox PH,750.0,0.6808745854317652
365,"Cox PH, Barlow weights",750.0,0.6813659255619703
366,"Cox PH, Prentice weights",750.0,0.6813045080456946
367,"Cox PH, Self-Prentice weights",750.0,0.6801989927527331
368,"Cox PH Ridge, Barlow weights",750.0,0.6813659255619703
369,"Cox PH Lasso, Barlow weights",750.0,0.6813659255619703
370,"Cox PH Elastic Net, Barlow weights",750.0,0.6813659255619703
371,"Survival Tree, unweighted",750.0,0.8457191991155878
372,"Survival Tree, random oversampler",750.0,0.8242844859353887
373,"Survival Tree, SMOTENC",750.0,0.8429247021250461
374,"Random Survival Forest, unweighted",750.0,0.8747082667976906
375,"Random Survival Forest, random oversampler",750.0,0.8670310772632355
376,"Random Survival Forest, SMOTENC",750.0,0.8716988085001842
377,Unweighted Cox PH,750.0,0.6435852133731993
378,"Cox PH, Barlow weights",750.0,0.6425659146507203
379,"Cox PH, Prentice weights",750.0,0.6425659146507203
380,"Cox PH, Self-Prentice weights",750.0,0.6427018211470509
381,"Cox PH Ridge, Barlow weights",750.0,0.6425659146507203
382,"Cox PH Lasso, Barlow weights",750.0,0.6425659146507203
383,"Cox PH Elastic Net, Barlow weights",750.0,0.6425659146507203
384,"Survival Tree, unweighted",750.0,0.8407855395487904
385,"Survival Tree, random oversampler",750.0,0.8493136721935308
386,"Survival Tree, SMOTENC",750.0,0.8394264745854851
387,"Random Survival Forest, unweighted",750.0,0.8352813264474042
388,"Random Survival Forest, random oversampler",750.0,0.8638896439249796
389,"Random Survival Forest, SMOTENC",750.0,0.8652487088882849
390,Unweighted Cox PH,750.0,0.6895440439245644
391,"Cox PH, Barlow weights",750.0,0.6899618047266651
392,"Cox PH, Prentice weights",750.0,0.6899618047266651
393,"Cox PH, Self-Prentice weights",750.0,0.6910360467892098
394,"Cox PH Ridge, Barlow weights",750.0,0.6894843638099785
395,"Cox PH Lasso, Barlow weights",750.0,0.6899618047266651
396,"Cox PH Elastic Net, Barlow weights",750.0,0.6899618047266651
397,"Survival Tree, unweighted",750.0,0.8373418476963476
398,"Survival Tree, random oversampler",750.0,0.8118584387682024
399,"Survival Tree, SMOTENC",750.0,0.8140964430651707
400,"Random Survival Forest, unweighted",750.0,0.8240630222010026
401,"Random Survival Forest, random oversampler",750.0,0.8294939126283123
402,"Random Survival Forest, SMOTENC",750.0,0.8357603246598233
403,Unweighted Cox PH,750.0,0.6848415643733943
404,"Cox PH, Barlow weights",750.0,0.6846131886954039
405,"Cox PH, Prentice weights",750.0,0.6847273765343991
406,"Cox PH, Self-Prentice weights",750.0,0.6693120182700543
407,"Cox PH Ridge, Barlow weights",750.0,0.6846131886954039
408,"Cox PH Lasso, Barlow weights",750.0,0.6846131886954039
409,"Cox PH Elastic Net, Barlow weights",750.0,0.6846131886954039
410,"Survival Tree, unweighted",750.0,0.8114473308592635
411,"Survival Tree, random oversampler",750.0,0.8312874678846702
412,"Survival Tree, SMOTENC",750.0,0.7879246360262632
413,"Random Survival Forest, unweighted",750.0,0.8085069940051385
414,"Random Survival Forest, random oversampler",750.0,0.8174136454467599
415,"Random Survival Forest, SMOTENC",750.0,0.8114758778190123
416,Unweighted Cox PH,750.0,0.750207468879668
417,"Cox PH, Barlow weights",750.0,0.7481327800829876
418,"Cox PH, Prentice weights",750.0,0.7480735032602253
419,"Cox PH, Self-Prentice weights",750.0,0.753171310017783
420,"Cox PH Ridge, Barlow weights",750.0,0.7469472436277416
421,"Cox PH Lasso, Barlow weights",750.0,0.7481327800829876
422,"Cox PH Elastic Net, Barlow weights",750.0,0.7435091879075282
423,"Survival Tree, unweighted",750.0,0.8543864848844102
424,"Survival Tree, random oversampler",750.0,0.846058091286307
425,"Survival Tree, SMOTENC",750.0,0.8322465915826912
426,"Random Survival Forest, unweighted",750.0,0.8827504445761707
427,"Random Survival Forest, random oversampler",750.0,0.8795494961470065
428,"Random Survival Forest, SMOTENC",750.0,0.8782454060462359
429,Unweighted Cox PH,750.0,0.6619472589411528
430,"Cox PH, Barlow weights",750.0,0.6606723478494263
431,"Cox PH, Prentice weights",750.0,0.6609407501845266
432,"Cox PH, Self-Prentice weights",750.0,0.6610749513520767
433,"Cox PH Ridge, Barlow weights",750.0,0.6606723478494263
434,"Cox PH Lasso, Barlow weights",750.0,0.6606723478494263
435,"Cox PH Elastic Net, Barlow weights",750.0,0.6606723478494263
